,ID,Game,ReleaseDate,Developer,Publisher
1201,226100,PixelJunk Nom Nom Galaxy,2015-08-03,Q-Games Ltd.,Q-Games Ltd.
1202,215770,Shad'O,2012-09-04,Okugi Studio,Okugi Sudio
1203,285980,Kromaia,2014-10-23,Kraken Empire,Rising Star Games
1204,426170,Defragmented,2016-02-12,Glass Knuckle Games,Glass Knuckle Games
1205,330270,Warlocks vs Shadows,2015-08-19,Frozen District,ONE MORE LEVEL
1206,228320,A Valley Without Wind 2,2013-02-18,"Arcen Games, LLC","Arcen Games, LLC"
1207,265000,FORCED SHOWDOWN,2016-03-29,BetaDwarf,BetaDwarf
1208,712190,Genesis Alpha One Deluxe Edition,2020-02-25,Radiation Blue,Team17 Digital Ltd
1209,390040,Small Radios Big Televisions,2016-11-08,Fire Face Corporation,Adult Swim Games
1210,622720,Weedcraft Inc,2019-04-11,Vile Monarch,Devolver Digital
1211,436230,Detached,2017-05-18,Anshar Studios,Anshar Studios
1212,358830,Good Robot,2016-04-05,Pyrodactyl,Pyrodactyl
1213,475190,Scanner Sombre,2017-04-26,Introversion Software,Introversion Software
1214,219340,The Banner Saga: Factions,2013-02-25,Stoic,Versus Evil
1215,571880,Angels with Scaly Wings,2017-01-31,Radical Phi,Radical Phi
1216,428220,TurnOn,2016-06-01,Brainy Studio LLC,Xsolla USA Inc
1217,874040,Ministry of Broadcast,2020-01-30,Ministry of Broadcast Studios,"Hitcents, PLAYISM"
1218,1125130,Area 51,2019-08-08,Steedie,Steedie
1219,210870,Cloudberry Kingdom,2013-08-02,Pwnee Studios,Ubisoft
1220,92600,Xotic,2011-09-16,"WXP Games, LLC","WXP Games, LLC"
1221,623640,Mulaka,2018-02-27,Lienzo,Lienzo
1222,690120,Inked,2018-04-26,Somnium Games d.o.o.,Somnium Games d.o.o.
1223,448290,Nefarious,2017-01-23,StarBlade,StarBlade
1224,422650,Megamagic: Wizards of the Neon Age,2016-04-20,BeautiFun Games,BeautiFun Games
1225,359580,Uncanny Valley,2015-04-23,Cowardly Creations,Cowardly Creations
1226,383230,Dungeon Souls,2016-12-02,"Lamina Studios, Mike Studios",Black Shell Media
1227,940310,Corpse Party 2: Dead Patient,2019-10-23,GrisGris,"XSEED Games, Marvelous USA, Inc."
1228,527430,"Warhammer 40,000: Inquisitor - Martyr",2018-06-05,NeocoreGames,NeocoreGames
1229,215470,Primal Carnage,2012-10-29,Lukewarm Media,Circle 5 Publishing
1230,227580,"10,000,000",2013-01-15,EightyEightGames,EightyEightGames
1231,250680,BELOW,2018-12-14,Capybara Games,Capybara Games
1232,392260,Rogue Wizards,2016-09-27,Spellbind Studios,Spellbind Studios
1233,22140,Penumbra: Requiem,0000-00-00,Frictional Games,Frictional Games
1234,200390,Oil Rush,2012-01-25,Unigine Corp.,Unigine Corp.
1235,314630,The Thin Silence,2018-04-27,TwoPM Studios,Nkidu Games Inc.
1236,251990,Long Live The Queen,2013-11-08,Hanako Games,Hanako Games
1237,888630,Another Sight - Definitive Edition,2018-09-06,Lunar Great Wall Studios,Fish Eagle
1238,37800,Quantz,2009-09-03,Gamerizon,Gamerizon
1239,349690,ARMED SEVEN,2015-03-06,ASTRO PORT,Henteko Doujin
1240,298140,Rhiannon: Curse of the Four Branches,2008-10-06,Arberth Studios,Meridian4
1241,367600,Skyshine's BEDLAM,2015-09-16,Skyshine Games,Versus Evil
1242,257870,Eschalon: Book III,2014-02-14,Basilisk Games,Basilisk Games
1243,6120,Shank,2010-10-25,Klei Entertainment,Klei Entertainment
1244,304730,Train Fever,2014-09-04,Urban Games,Good Shepherd Entertainment
1245,241320,Ittle Dew,2013-07-23,Ludosity,Ludosity
1246,311010,The Way,2016-05-20,Puzzling Dream,"PlayWay S.A., Ultimate Games S.A."
1247,355530,Last Word,2015-05-08,Twelve Tiles,Degica
1248,427810,CALENDULA,2016-02-02,Blooming Buds Studio,Blooming Buds Studio
1249,812550,The King's Bird,2018-08-23,Serenity Forge,Graffiti Games
1250,772290,Rainswept,2019-02-01,Frostwood Interactive,Frostwood Interactive
1251,264540,Platformines,2014-03-28,Magiko Gaming,BANDAI NAMCO Entertainment
1252,428660,Deliver Us The Moon,2019-10-10,KeokeN Interactive,Wired Productions
1253,327410,A Bird Story,2014-11-07,Freebird Games,Freebird Games
1254,639470,Original Journey,2017-08-16,Bonfire Entertainment,Another Indie
1255,320520,Oscura: Lost Light,2015-02-24,Chocolate Liberation Front,Surprise Attack
1256,234160,Strike Suit Infinity,2013-04-30,Born Ready Games Ltd.,Born Ready Games
1257,446790,Diluvion: Resubmerged,2017-02-02,Arachnid Games,Good Shepherd Entertainment
1258,388060,The Escapists: The Walking Dead,2015-09-30,Team17 Digital Ltd,Team17 Digital Ltd
1259,269030,The Yawhg,2013-05-30,"Damian Sommer, Emily Carroll",Damian Sommer
1260,245150,The Novelist,2013-12-10,Orthogonal Games,Maxistentialism
1261,257990,Oozi: Earth Adventure,2013-12-05,Awesome Games Studio,Awesome Games Studio
1262,828740,Tales of the Neon Sea,2019-04-29,Palm Pioneer,Zodiac Interactive
1263,321870,Silence of the Sleep,2014-10-01,Jesse Makkonen,Jesse Makkonen
1264,253390,Hot Tin Roof: The Cat That Wore A Fedora,2015-02-20,Glass Bottom Games,Glass Bottom Games
1265,250620,Among the Sleep - Enhanced Edition,2017-11-02,Krillbite Studio,Krillbite Studio
1266,1083310,OUTBUDDIES,2019-10-15,Julian Laufer,Headup
1267,408400,Swords and Sorcery - Underworld - Definitive Edition,2015-12-15,OlderBytes,OlderBytes
1268,331460,ROOMS: The Toymaker's Mansion,2015-05-01,HandMade Game,HandMade Game
1269,517780,Ogre,2017-10-05,Auroch Digital,Auroch Digital
1270,394700,Karma. Incarnation 1,2016-10-19,AuraLab,Other Kind Games
1271,34500,Light of Altair,2009-06-04,SaintXi,SaintXi
1272,934780,American Fugitive,2019-05-21,Fallen Tree Games Ltd,Curve Digital
1273,233190,Final Exam,2013-11-05,Mighty Rocket Studio,Focus Home Interactive
1274,898650,The Shapeshifting Detective,2018-11-06,"D'Avekki Studios Ltd, Wales Interactive",Wales Interactive
1275,392410,Toy Odyssey: The Lost and Found,2016-09-20,Hikergames,Hikergames
1276,287600,Sunset,2015-05-21,Tale of Tales,Tale of Tales
